iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
49,1.188237190246582,-534.7749733156853,6.0479615712692105,-528.6586728495448,-544.3237261927669,0.5,0.15681734929245744,0.1,0.002369403839111328,0.07430577278137207,0.04887799,0.71515703,-536.8623515205537,-0.10625054476483632,-0.16583355445321976,0.5,0.05890012105196728,77,0.003089427947998047,0.9998586244155628,0.9998586244155628,3857,-587.7801053033454,0.49999999999999994
50,1.1964964866638184,-536.0705117477307,8.31487808609082,-521.9553147471555,-542.3301327557269,0.375,0.16681792263465214,0.1,0.030582666397094727,0.07369303703308105,0.050351754,0.6220967,-536.7831675432715,-0.10201884568246025,-0.17299240960050874,0.375,0.061926494246933014,82,0.002988576889038086,0.9998563863243822,0.9998563863243822,3939,-590.1933203845475,0.49999999999999994
51,1.061966896057129,-539.5467279048958,10.394567687928598,-525.4803400757414,-554.3251415740401,0.125,0.14549861717644694,0.1,0.0024063587188720703,0.04636335372924805,0.050452232,0.80904186,-537.059523579434,-0.10107337635251751,-0.19036107114073939,0.125,0.06132276383751627,72,0.002980470657348633,0.9998603342592235,0.9998603342592235,4011,-587.4859264261505,0.49999999999999994
52,1.1353182792663574,-540.3763204223837,14.555473825390008,-520.1060487157235,-554.8921435066728,0.375,0.165242416149724,0.1,0.002330780029296875,0.056472063064575195,0.05038584,0.69843435,-537.3912032637289,-0.10573838363027477,-0.19468643644152853,0.375,0.06220536317893873,89,0.0030951499938964844,0.9998590836135733,0.9998590836135733,4100,-584.5855934711103,0.49999999999999994
53,1.0938951969146729,-541.5240135428473,4.936687296318709,-535.2196642356362,-548.8490057505596,0.375,0.1670501034846223,0.1,0.0025663375854492188,0.0862889289855957,0.051035453,0.6135916,-537.8044842916408,-0.10803324348966867,-0.19952154600551186,0.375,0.058436739927478346,79,0.008320808410644531,0.999858882187748,0.999858882187748,4179,-583.3109270910519,0.49999999999999994
54,1.1141653060913086,-543.0663923644634,3.7446462637189812,-538.6107264666848,-548.5408338042533,0.0,0.15456868782193667,0.1,0.002307415008544922,0.053589820861816406,0.05049911,0.78373617,-538.330675098923,-0.10094745857963905,-0.2079688961916156,0.0,0.060394743996119216,77,0.0034682750701904297,0.9998602534302982,0.9998602534302982,4256,-572.7648851000237,0.49999999999999994
55,1.190976858139038,-538.8341880936537,4.614878434269255,-532.5342947909431,-545.3641901687732,0.375,0.15620544102200212,0.1,0.002735137939453125,0.04804062843322754,0.050140202,0.6290849,-538.3810263983961,-0.09160691206788905,-0.18803723438942757,0.375,0.061679585782780655,79,0.004149198532104492,0.9998595334242427,0.9998595334242427,4335,-572.2953494183029,0.49999999999999994
56,1.179138422012329,-539.7802443010851,5.917809739907729,-530.5993324515869,-545.0811459371363,0.25,0.15729962189847288,0.1,0.027265071868896484,0.04684114456176758,0.049444005,0.8905628,-538.520948188665,-0.09485096528059483,-0.19100534045115156,0.25,0.06131412391719811,77,0.0030138492584228516,0.9998599338521563,0.9998599338521563,4412,-572.0639867795028,0.49999999999999994
57,1.4777157306671143,-536.0205721200341,7.073513188201846,-524.3893984494905,-543.5249027025932,0.5,0.17315307416464734,0.1,0.022870302200317383,0.12195968627929688,0.049459904,0.90304077,-538.2709105818019,-0.1108256097068287,-0.1716236062650089,0.5,0.060495654573403876,92,0.014780759811401367,0.9998575105619285,0.9998575105619285,4504,-574.6729577055116,0.49999999999999994
58,1.214629888534546,-538.6150897581367,3.4713130978900755,-534.8251702454385,-543.1914904030923,0.5,0.15928371097424013,0.1,0.002460479736328125,0.04816842079162598,0.05006511,0.90579987,-538.3053284994354,-0.09878741366119623,-0.18483432071241246,0.5,0.06084684632579554,88,0.0030150413513183594,0.9998585217850419,0.9998585217850419,4592,-575.5354000435077,0.49999999999999994
