iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
36,1.0727183818817139,-537.2002781755568,4.998562814070504,-531.2877832896668,-544.4435903403296,0.375,0.14381257960247074,0.1,0.0021224021911621094,0.056426286697387695,0.049559306,1.1505607,-533.4987664031294,-0.10411114095029823,-0.17742367568403694,0.375,0.06217412131788304,78,0.002457141876220703,1.000274239778193,1.000274239778193,2741,-553.3909487439582,0.49999999999999994
37,1.0784711837768555,-529.7815546944795,8.79718013148337,-518.3819907103256,-540.8556715341106,0.375,0.14268281080154122,0.1,0.0021648406982421875,0.060832977294921875,0.049847007,0.7901243,-533.1270452322644,-0.10223749471650206,-0.14066941957463983,0.375,0.061153488678514306,71,0.0025014877319335938,1.0002713304292183,1.0002713304292183,2812,-551.2596264849876,0.49999999999999994
38,1.0815234184265137,-538.8990113919439,5.970369242239711,-528.5921287432413,-542.956083343306,0.375,0.15614197858632195,0.1,0.0021872520446777344,0.04485821723937988,0.050083324,0.8532017,-533.7042418482324,-0.09543423432926497,-0.1862622400749338,0.375,0.06038691252685756,87,0.0026807785034179688,1.0002741807700817,1.0002741807700817,2899,-559.8102749768522,0.49999999999999994
39,1.0681819915771484,-533.0283342034645,6.183043862709788,-525.4487773065329,-542.6616408636415,0.375,0.13734632700937535,0.1,0.002276897430419922,0.04630136489868164,0.05103973,1.2270166,-533.6366510837556,-0.11233883788473643,-0.15688106076547473,0.375,0.06276032144573912,72,0.002758502960205078,1.000272382551144,1.000272382551144,2971,-575.1600361977626,0.49999999999999994
40,1.1494286060333252,-543.6219135702735,10.164635704549308,-530.5678069299566,-558.1370558268554,0.375,0.16400453315723001,0.1,0.0022094249725341797,0.04589033126831055,0.050679613,0.84362817,-534.6351773324075,-0.08821178021465363,-0.2089866867940775,0.375,0.06306879652413529,99,0.0024261474609375,1.0002745590194986,1.0002745590194986,3070,-573.8587959838212,0.49999999999999994
41,1.0599312782287598,-539.1420872036381,4.723382486147074,-533.7982263441588,-545.8014536771321,0.375,0.13933423658454558,0.1,0.001786947250366211,0.04228782653808594,0.050460227,0.8259627,-535.0858683195305,-0.11203028041788013,-0.186651295883982,0.375,0.061478644252307924,74,0.0026009082794189453,1.0002732551124276,1.0002732551124276,3144,-566.7447940108805,0.49999999999999994
42,1.1081674098968506,-535.9983368025161,1.9796631696094351,-533.2967475885864,-538.8856867429176,0.375,0.1484071218926344,0.1,0.002179861068725586,0.04381370544433594,0.050813153,0.7590455,-535.177115167829,-0.10177060265211163,-0.1716241118644128,0.375,0.06291456257295469,83,0.0023043155670166016,1.000273452246014,1.000273452246014,3227,-580.4162053088809,0.49999999999999994
43,1.0972774028778076,-533.6941454119785,10.176439159174238,-516.2308418241544,-540.8428964865366,0.25,0.157865178876588,0.1,0.002194643020629883,0.04326629638671875,0.050080534,0.88724303,-535.028818192244,-0.08534379503128336,-0.16137341976652844,0.25,0.06082965167111837,79,0.0022585391998291016,1.000274486339169,1.000274486339169,3306,-575.0120785849732,0.49999999999999994
44,1.1209537982940674,-524.5144539758406,8.538110282932568,-511.40300215152513,-532.3088445537359,0.5,0.13583704826226947,0.1,0.0022084712982177734,0.04418659210205078,0.050133385,1.051193,-533.9773817706036,-0.09276907242213075,-0.11449015978191093,0.5,0.06184212118323576,74,0.0026574134826660156,1.0002755080352617,1.0002755080352617,3380,-583.3041732293675,0.49999999999999994
45,0.9954988956451416,-538.4227056859462,3.3668917543376216,-532.9702403509681,-541.8771955394374,0.25,0.1448196903425085,0.1,0.002221345901489258,0.044638872146606445,0.04936923,0.79807,-534.4219141621379,-0.11097708356787328,-0.18353648496972486,0.25,0.061920243977252265,71,0.002442598342895508,1.0002713201049098,1.0002713201049098,3451,-557.7644874163107,0.49999999999999994
46,1.013566493988037,-531.2055227615039,10.930017219203169,-512.6338158310559,-540.0746348927017,0.5,0.13317621425749485,0.1,0.002161741256713867,0.044423580169677734,0.049946748,0.84689033,-534.1002750220745,-0.10553610086285248,-0.14687100990471355,0.5,0.06138796165017245,71,0.0023505687713623047,1.00027147714299,1.00027147714299,3522,-562.1659325036883,0.49999999999999994
47,1.0143580436706543,-531.1121173012517,3.3676867035144884,-526.790111454902,-536.2402957065538,0.375,0.139500610425348,0.1,0.0022802352905273438,0.0433499813079834,0.051623695,0.85381186,-533.8014592499923,-0.09732800021002545,-0.14772136623495677,0.375,0.061289867791352204,71,0.002864360809326172,1.0002737958052745,1.0002737958052745,3593,-557.7256381298625,0.49999999999999994
48,1.0396194458007812,-529.1716994753265,7.229022798691874,-518.1498855920876,-536.0884194354563,0.5,0.1489325912637822,0.1,0.0024099349975585938,0.04361724853515625,0.05053615,0.8702044,-533.3384832725257,-0.09331127804154445,-0.13905986864542086,0.5,0.06237379040736669,77,0.002751588821411133,1.0002735651492,1.0002735651492,3670,-557.8155023038518,0.49999999999999994
49,1.0388433933258057,-526.4874468471094,5.823582908726499,-517.7026545959088,-534.0789029598934,0.5,0.133449933271236,0.1,0.0021789073944091797,0.042548418045043945,0.049873978,0.9401807,-532.653379629984,-0.08937413309070465,-0.12577073250463383,0.5,0.061672175792805574,67,0.022737503051757812,1.0002745344215276,1.0002745344215276,3737,-557.8837592998145,0.49999999999999994
50,1.0770916938781738,-538.6440748059914,5.181499526926765,-532.9714884155474,-544.6654201200738,0.5,0.16089611011852017,0.1,0.0070765018463134766,0.049851179122924805,0.04984781,0.6417365,-533.2524491475847,-0.088168562951882,-0.18413048885686262,0.5,0.06258532190892427,94,0.002605915069580078,1.0002748582827543,1.0002748582827543,3831,-560.6938433610162,0.49999999999999994
51,1.060044527053833,-537.1618539553195,8.207191944259105,-527.2974549962578,-547.8424351421056,0.375,0.1582402070566351,0.1,0.002110719680786133,0.053529977798461914,0.049741145,0.6914524,-533.6433896283581,-0.09743760211482834,-0.17726239219122458,0.375,0.061710795635573634,81,0.0029625892639160156,1.0002743164913972,1.0002743164913972,3912,-560.824788051361,0.49999999999999994
52,1.0308308601379395,-532.5019792082101,12.53403879517452,-517.081216429055,-546.9134685385139,0.25,0.13323485381425118,0.1,0.0021209716796875,0.04241490364074707,0.04967116,0.8243128,-533.5292485863433,-0.1117806108125396,-0.15446970809707525,0.25,0.06287669147721851,67,0.002447366714477539,1.0002719604942352,1.0002719604942352,3979,-567.5145465101958,0.49999999999999994
53,1.1340508460998535,-543.995696442803,7.576090936139489,-535.598991406969,-555.1272985325968,0.5,0.18126596174170947,0.1,0.0022242069244384766,0.04586482048034668,0.05063518,0.6138198,-534.5758933719893,-0.08901752415734321,-0.21103441950944468,0.5,0.05963494760651025,106,0.08289980888366699,1.000273988374553,1.000273988374553,4085,-584.0971376664248,0.49999999999999994
54,1.0745322704315186,-540.1542125768876,3.8036984806112133,-534.924839500236,-545.6753150869342,0.125,0.13772914714266615,0.1,0.002672433853149414,0.0399777889251709,0.051005825,0.9619703,-535.1337252924792,-0.10249104988951119,-0.1920361321010278,0.125,0.062086011930073993,77,0.0033380985260009766,1.0002723364768928,1.0002723364768928,4162,-573.6588914052668,0.49999999999999994
55,1.082141399383545,-537.2167484082044,5.476083555647205,-532.5330505982772,-546.352210487553,0.375,0.14523861336503904,0.1,0.0022153854370117188,0.043028831481933594,0.050682746,0.765001,-535.3420276040517,-0.10258824364357641,-0.1788095282566864,0.375,0.06162126488818806,77,0.0025827884674072266,1.000275574277109,1.000275574277109,4239,-577.9896186202427,0.49999999999999994
56,1.1001458168029785,-544.8641391462569,4.986544339383378,-539.019185018025,-552.8066923209652,0.125,0.16072899506550492,0.1,0.002680540084838867,0.05780601501464844,0.04943363,0.87494814,-536.2942387582723,-0.10359552593406558,-0.21516515193314123,0.125,0.06265668091428006,78,0.0030820369720458984,1.0002738749818039,1.0002738749818039,4317,-577.192736950256,0.49999999999999994
